"","county","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"1","Adams County",110,10,31,79,32,14,18,43.75,10,21,32.258064516129,14,13,0,0,Inf,Inf,1586,2099,1940,2472,313,188,"Greater than 30%","06 - 10","31 - 50%","11 - 20","11 - 20","More than 50%","251 - 500","101 - 250","40 - 80"
"2","Alexander County",5,0,1,4,1,1,0,100,0,1,0,1,1,0,0,Inf,Inf,124,143,124,143,28,0,"0%","0","More than 50%","01 - 10","01 - 10","More than 50%","05 - 100","0","02 - 10"
"3","Bond County",2,0,0,2,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,71,71,79,84,0,0,NA,"0",NA,NA,"0",NA,"0","0","02 - 10"
"4","Boone County",10,8,2,8,4,0,4,0,0,2,0,0,0,0,0,NA,NA,222,252,652,723,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"5","Brown County",5,1,3,2,4,2,2,50,0,3,0,2,1,0,0,Inf,Inf,35,43,101,109,8,0,"0%","0","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","0","02 - 10"
"6","Bureau County",11,0,2,9,2,0,2,0,0,2,0,0,0,0,0,NA,NA,194,194,202,202,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"7","Calhoun County",1,1,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,30,30,46,46,0,0,NA,"0",NA,NA,"0",NA,"0","0","01"
"8","Carroll County",9,0,3,6,3,1,2,33.3333333333333,1,2,33.3333333333333,1,1,0,0,Inf,Inf,80,90,80,90,8,8,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"9","Cass County",5,0,0,5,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,107,115,107,115,0,0,NA,"0",NA,NA,"0",NA,"0","0","02 - 10"
"10","Champaign County",217,46,110,107,116,28,88,24.1379310344828,24,86,21.8181818181818,28,27,0,0,Inf,Inf,4444,5529,6151,7460,689,531,"20.01 - 30.0%","16 - 20","21 - 30%","21 - 44","21 - 32","More than 50%","501 - 819","501 - 531","81 - 217"
"11","Christian County",18,2,7,11,7,1,6,14.2857142857143,1,6,14.2857142857143,1,1,0,0,Inf,Inf,327,343,433,449,8,8,"10.01 - 15.0%","01 - 5","14 - 20%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"12","Clark County",10,2,0,10,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,90,90,146,146,0,0,NA,"0",NA,NA,"0",NA,"0","0","02 - 10"
"13","Clay County",9,1,2,7,2,1,1,50,0,2,0,1,1,0,0,Inf,Inf,165,170,171,176,91,0,"0%","0","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","0","02 - 10"
"14","Clinton County",17,12,7,10,9,2,7,22.2222222222222,1,6,14.2857142857143,2,2,0,0,Inf,Inf,379,379,1192,1219,98,6,"10.01 - 15.0%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"15","Coles County",22,3,6,16,8,2,6,25,2,4,33.3333333333333,2,2,0,0,Inf,Inf,520,536,1117,1188,14,14,"Greater than 30%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"16","Cook County",2453,336,1635,818,1893,436,1457,23.0322239830956,334,1301,20.4281345565749,440,386,0,0,Inf,Inf,57085,69539,119010,138917,9323,7533,"20.01 - 30.0%","334","21 - 30%","436","386","More than 50%","9329","7533","817"
"17","Crawford County",11,2,7,4,9,3,6,33.3333333333333,1,6,14.2857142857143,3,1,0,0,Inf,Inf,257,280,305,336,8,8,"10.01 - 15.0%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"18","Cumberland County",6,0,0,6,2,0,2,0,0,0,NA,0,0,0,0,NA,NA,62,62,157,157,0,0,NA,"0","0","0","0",NA,"0","0","02 - 10"
"19","De Witt County",11,1,7,4,9,0,9,0,0,7,0,0,0,0,0,NA,NA,109,109,137,137,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"20","DeKalb County",49,13,28,21,29,11,18,37.9310344827586,8,20,28.5714285714286,11,11,0,0,Inf,Inf,1637,1751,1946,2088,342,228,"20.01 - 30.0%","06 - 10","31 - 50%","11 - 20","11 - 20","More than 50%","251 - 500","101 - 250","21 - 33"
"21","Douglas County",17,1,3,14,6,1,5,16.6666666666667,0,3,0,1,0,0,0,Inf,NA,125,128,199,214,0,0,"0%","0","14 - 20%","01 - 10","0",NA,"0","0","11 - 20"
"22","DuPage County",250,82,32,218,43,22,21,51.1627906976744,17,15,53.125,22,19,0,0,Inf,Inf,10891,11545,21539,22396,1565,1309,"Greater than 30%","11 - 19","More than 50%","21 - 44","11 - 20","More than 50%","820 - 1565","734 - 1309","817"
"23","Edgar County",13,1,2,11,4,0,4,0,0,2,0,0,0,0,0,NA,NA,150,175,290,343,0,0,"0%","0","0","0","0",NA,"0","0","11 - 20"
"24","Edwards County",1,1,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,8,16,48,56,0,0,NA,"0",NA,NA,"0",NA,"0","0","01"
"25","Effingham County",29,6,6,23,7,2,5,28.5714285714286,1,5,16.6666666666667,2,1,0,0,Inf,Inf,816,858,1065,1107,8,8,"15.01 - 20%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","21 - 33"
"26","Fayette County",14,1,1,13,3,1,2,33.3333333333333,0,1,0,1,0,0,0,Inf,NA,407,422,565,581,0,0,"0%","0","31 - 50%","01 - 10","0",NA,"0","0","11 - 20"
"27","Ford County",20,2,9,11,9,5,4,55.5555555555556,0,9,0,5,5,0,0,Inf,Inf,232,245,283,296,40,0,"0%","0","More than 50%","01 - 10","01 - 10","More than 50%","05 - 100","0","11 - 20"
"28","Franklin County",17,4,2,15,3,1,2,33.3333333333333,1,1,50,1,1,0,0,Inf,Inf,543,588,656,714,40,40,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"29","Fulton County",11,1,2,9,2,0,2,0,0,2,0,0,0,0,0,NA,NA,309,315,420,426,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"30","Greene County",8,0,1,7,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,137,137,137,137,8,8,"Greater than 30%","01 - 5","More than 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"31","Grundy County",9,10,2,7,2,0,2,0,0,2,0,0,0,0,0,NA,NA,277,283,700,715,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"32","Hamilton County",1,2,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,131,131,215,259,0,0,NA,"0",NA,NA,"0",NA,"0","0","01"
"33","Hancock County",28,2,6,22,7,3,4,42.8571428571429,2,4,33.3333333333333,3,3,0,0,Inf,Inf,273,276,299,302,27,19,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","21 - 33"
"34","Hardin County",1,0,0,1,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,20,20,28,36,0,0,NA,"0",NA,NA,"0",NA,"0","0","01"
"35","Henderson County",5,0,2,3,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,49,49,49,49,8,8,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","02 - 10"
"36","Henry County",41,2,11,30,12,6,6,50,6,5,54.5454545454545,6,6,0,0,Inf,Inf,641,665,855,882,107,107,"Greater than 30%","06 - 10","31 - 50%","01 - 10","01 - 10","More than 50%","101 - 250","101 - 250","21 - 33"
"37","Iroquois County",25,0,24,1,25,7,18,28,4,20,16.6666666666667,7,7,0,0,Inf,Inf,310,328,318,336,169,118,"15.01 - 20%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","101 - 250","101 - 250","01"
"38","Jackson County",21,5,3,18,3,1,2,33.3333333333333,1,2,33.3333333333333,1,1,0,0,Inf,Inf,896,971,1002,1097,48,48,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"39","Jasper County",10,2,4,6,4,0,4,0,0,4,0,0,0,0,0,NA,NA,104,104,160,160,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"40","Jefferson County",17,6,10,7,10,1,9,10,0,10,0,1,1,0,0,Inf,Inf,332,428,616,727,8,0,"0%","0","01 - 13%","01 - 10","01 - 10","More than 50%","05 - 100","0","02 - 10"
"41","Jersey County",6,3,0,6,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,163,163,349,349,0,0,NA,"0",NA,NA,"0",NA,"0","0","02 - 10"
"42","Jo Daviess County",15,1,2,13,2,0,2,0,0,2,0,0,0,0,0,NA,NA,196,196,370,370,0,0,"0%","0","0","0","0",NA,"0","0","11 - 20"
"43","Johnson County",5,0,1,4,1,0,1,0,0,1,0,0,0,0,0,NA,NA,96,108,139,151,0,0,"0%","0","0","0","0",NA,"0","0","02 - 10"
"44","Kane County",84,40,38,46,43,26,17,60.4651162790698,14,24,36.8421052631579,26,24,0,0,Inf,Inf,2971,3199,8019,8361,636,519,"Greater than 30%","11 - 19","More than 50%","21 - 44","21 - 32","More than 50%","501 - 819","501 - 531","40 - 80"
"45","Kankakee County",22,12,6,16,8,1,7,12.5,0,6,0,1,0,0,0,Inf,NA,853,1016,1652,2096,0,0,"0%","0","01 - 13%","01 - 10","0",NA,"0","0","11 - 20"
"46","Kendall County",20,44,8,12,8,1,7,12.5,1,7,12.5,1,1,0,0,Inf,Inf,1011,1217,3118,3489,12,12,"10.01 - 15.0%","01 - 5","01 - 13%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"47","Knox County",41,3,8,33,8,1,7,12.5,1,7,12.5,1,1,0,0,Inf,Inf,605,698,671,785,6,6,"10.01 - 15.0%","01 - 5","01 - 13%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","21 - 33"
"48","Lake County",167,41,36,131,71,33,38,46.4788732394366,17,19,47.2222222222222,33,18,0,0,Inf,Inf,5581,6531,16350,19617,1120,1108,"Greater than 30%","11 - 19","31 - 50%","21 - 44","11 - 20","More than 50%","820 - 1565","734 - 1309","81 - 217"
"49","LaSalle County",38,10,15,23,17,10,7,58.8235294117647,5,10,33.3333333333333,10,9,0,0,Inf,Inf,904,942,1084,1130,237,81,"Greater than 30%","01 - 5","More than 50%","01 - 10","01 - 10","More than 50%","101 - 250","05 - 100","21 - 33"
"50","Lawrence County",9,3,1,8,2,2,0,100,0,1,0,2,1,0,0,Inf,Inf,76,77,180,181,6,0,"0%","0","More than 50%","01 - 10","01 - 10","More than 50%","05 - 100","0","02 - 10"
"51","Lee County",23,5,9,14,9,2,7,22.2222222222222,1,8,11.1111111111111,2,2,0,0,Inf,Inf,635,664,820,877,19,7,"10.01 - 15.0%","01 - 5","21 - 30%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"52","Livingston County",22,1,9,13,9,3,6,33.3333333333333,3,6,33.3333333333333,3,3,0,0,Inf,Inf,231,231,277,277,21,21,"Greater than 30%","01 - 5","31 - 50%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","11 - 20"
"53","Logan County",18,0,5,13,5,4,1,80,4,1,80,4,4,0,0,Inf,Inf,359,377,367,385,107,107,"Greater than 30%","01 - 5","More than 50%","01 - 10","01 - 10","More than 50%","101 - 250","101 - 250","11 - 20"
"54","Macon County",51,8,11,40,14,2,12,14.2857142857143,2,9,18.1818181818182,2,2,0,0,Inf,Inf,1058,1284,2342,2615,16,16,"15.01 - 20%","01 - 5","14 - 20%","01 - 10","01 - 10","More than 50%","05 - 100","05 - 100","40 - 80"
