"","zip","required_testing","not_required_testing","required_testing_tested","required_testing_not_tested","number_of_first_tests","first_test_pos_required","first_test_neg_required","first_test_pos_req_percent","latest_test_positive_required","latest_test_negative_required","latest_test_pos_required_percent","any_test_positive_all","any_test_positive_req","number_of_facilities_tested_all","number_of_facilities_tested_req","atp_percent_of_tested_all","atp_percent_of_tested_req","max_capacity_required","day_night_capacity_required","max_capacity_all","day_night_capacity_all","atp_max_capacity_req","ltp_max_capacity_req","ltp_percent_bucket","ltp_count_bucket","ftp_percent_bucket","ftp_count_bucket","atp_count_bucket","atp_percent_bucket","atp_mc_bucket","ltp_mc_bucket","should_bucket"
"1","60002",0,0,0,0,1,1,0,100,0,0,NA,1,0,0,0,Inf,NA,0,0,33,58,0,0,NA,"0","More than 50%","01 - 5","0",NA,"0","0","0"
"2","60004",2,1,2,0,3,1,2,33.3333333333333,1,1,50,1,1,0,0,Inf,Inf,152,152,1483,1483,144,144,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","0"
"3","60005",2,0,2,0,2,0,2,0,0,2,0,0,0,0,0,NA,NA,46,46,387,387,0,0,"0%","0","0","0","0",NA,"0","0","0"
"4","60007",7,0,6,1,7,0,7,0,0,6,0,0,0,0,0,NA,NA,107,107,115,115,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"5","60008",4,0,1,3,1,0,1,0,0,1,0,0,0,0,0,NA,NA,114,114,114,114,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"6","60010",9,1,5,4,6,1,5,16.6666666666667,1,4,20,1,1,0,0,Inf,Inf,590,661,934,1005,29,29,"15.01 - 20%","01 - 5","14 - 20%","01 - 5","01 - 5","More than 50%","016 - 29","016 - 30","01 - 10"
"7","60012",0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,158,161,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"8","60013",5,1,3,2,3,2,1,66.6666666666667,2,1,66.6666666666667,2,2,0,0,Inf,Inf,255,255,659,813,68,68,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","051 - 100","051 - 100","01 - 10"
"9","60014",6,4,1,5,2,1,1,50,0,1,0,1,0,0,0,Inf,NA,344,344,1070,1085,0,0,"0%","0","31 - 50%","01 - 5","0",NA,"0","0","01 - 10"
"10","60015",9,3,2,7,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,1010,1017,1417,1424,142,142,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","01 - 10"
"11","60016",8,2,3,5,4,0,4,0,0,3,0,0,0,0,0,NA,NA,407,407,625,625,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"12","60018",6,0,3,3,4,0,4,0,0,3,0,0,0,0,0,NA,NA,245,245,535,535,0,0,"0%","0","0","0","0",NA,"0","0","01 - 10"
"13","60020",0,1,0,0,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,0,0,77,80,0,0,NA,"0",NA,NA,"0",NA,"0","0","0"
"14","60021",1,1,1,0,1,1,0,100,1,0,100,1,1,0,0,Inf,Inf,12,12,93,93,12,12,"Greater than 30%","01 - 5","More than 50%","01 - 5","01 - 5","More than 50%","005 - 15","005 - 15","0"
"15","60022",2,1,2,0,2,1,1,50,1,1,50,1,1,0,0,Inf,Inf,239,239,411,411,135,135,"Greater than 30%","01 - 5","31 - 50%","01 - 5","01 - 5","More than 50%","101 - 200","101 - 200","0"
